1,(单选题)下列符合金融创新基本原则的是（）。,<p>A通过金融创新进行低价倾销。排挤竞争对手，占领市场</p><p>B在金融创新过程中保证风险可控，以维持银行经营安全</p><p>C通过金融创新逃避金融监管</p><p>D金融创新可以适当逾越风险可控的原则</p>,4,B,符合金融创新基本原则的是在金融创新过程中保证风险可控，以维持银行经营安全。,28,1,0,0
1,(单选题)下列哪一项不属于银行从事客户教育的内容?（）,<p>A为客户提供相关信息</p><p>B为客户提供培训</p><p>C使客户接受“买者自负”这一市场经济基本原则</p><p>D为客户提供风险测试</p>,4,D,银行从事客户教育的内容是指：为客户提供相关信息和培训，使他们具备理解各类金融产品和服务的知识，使他们接受和遵循“买者自负”(产品购买者从购买行为中获得利益，也要自己承担决策风险)这一市场经济基本原则。故选D。,28,1,0,0
1,(单选题)《商业银行金融创新指引》的核心是（）。,<p>A管理模式创新</p><p>B机构设置创新</p><p>C金融产品创新</p><p>D管理流程创新</p>,4,C,《商业银行金融创新指引》的核心是金融产品创新。,28,1,0,0
2,(多选题)银行金融创新的基本原则包括（）。,<p>A合法合规原则B.成本可算原则</p><p>B维护客户利益原则</p><p>C无风险原则</p><p>D知识产权保护原则</p>,4,ABCD,金融创新的基本原则：1．合法合规原则；2．公平竞争原则；3．知识产权保护原则；4．成本可算原则；5．风险可控原则。,28,1,0,0
2,(多选题)金融创新包括三个层面的“创新”(）。,<p>A宏观层面</p><p>B横向层面</p><p>C微观层面</p><p>D中观层面</p><p>E纵向层面</p>,5,ACD,金融创新包括三个层面的“创新”：宏观层面、中观层面、微观层面。（本题来自嗨考网）,28,1,0,0
2,(多选题)下列关于手机银行和电话银行的说法中，不正确的有（）。,<p>A电话银行业务是银行通过电话自动语音及人工服务应答方式为客户提供的银行服务</p><p>B手机银行就是用手机拨打的电话银行</p><p>C电话银行提供的服务包括业务咨询、账户查询、转账汇款、投资理财等</p><p>D手机银行和电话银行都属于电子银行</p><p>E手机银行和电话银行的收费都是只收市话费</p>,5,BE,手机银行业务是指银行利用移动网络和移动技术，通过移动网络为客户提供的金融服务；电话银行收取通话费，而手机银行收取短信费或网络运营商基本上网流量费。,28,1,0,0
2,(多选题)下列关于“买者自负”原则的说法，正确的有（）。,<p>A该原则属于“妥善处理利益冲突”方面</p><p>B金融投资者要加强自我教育，充分认识金融产品与市场中蕴含的风险，对自己的投资决策负责</p><p>C“买者自负”的含义是，产品的购买者要从购买行为中获得利益，也要自己承担决策风险</p><p>D要求产品提供方对产品的已知缺陷和风险进行适当的披露，尽可能避免客户对所购买的产品存在很大的误解</p><p>E投资者在购买新的金融产品时，不能只关注预期的高收益，还要了解和认识其中的巨大风险</p>,5,BCDE,“买者自负”原则属于“客户教育”方面，故A项错误。故选BCDE。,28,1,0,0
3,(判断题)商业银行在金融创新中的审慎尽责原则要求银行保证客户购买金融创新产品时不遭受损失。,<p>A正确</p><p>B错误</p>,2,B,商业银行在金融创新中的审慎尽责原则要求银行保证客户购买金融创新产品时不遭受损失。错误。,28,1,0,0
3,(判断题)银行金融创新最终体现为银行风险的完全规避。,<p>A正确</p><p>B错误</p>,2,B,银行金融创新最终体现为银行风险的完全规避。错误。,28,1,0,0
3,(判断题)宏观层面的金融创新仅指金融工具的创新。,<p>A正确</p><p>B错误</p>,2,B,宏观层面的金融创新仅指金融工具的创新。错误。,28,1,0,0
